Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
03/07/24,Georgia Tech,WBB,Uma Thurman,Pregame,,,0-0,N,
03/07/24,Georgia Tech,WBB,Fight Fight,Pregame,,,0-0,N,
03/07/24,Georgia Tech,WBB,The Star-Spangled Banner,Pregame,,,0-0,N,
03/07/24,Georgia Tech,WBB,Fight Fight,1Q,<5:00,4:52,6-6,Y,
03/07/24,Georgia Tech,WBB,Love from the Other Side,2Q,,8:23,17-16,N,
03/07/24,Georgia Tech,WBB,Fight Fight,2Q,,8:23,17-16,Y,
03/07/24,Georgia Tech,WBB,Crazy in Love,2Q,<5:00,3:44,28-20,N,
03/07/24,Georgia Tech,WBB,Blue & White,Halftime,,,38-26,N,
03/07/24,Georgia Tech,WBB,Can't,Halftime,,,38-26,N,
03/07/24,Georgia Tech,WBB,Dance the Night,Halftime,,,38-26,N,
03/07/24,Georgia Tech,WBB,That's What I Want,Halftime,,,38-26,N,
03/07/24,Georgia Tech,WBB,Devil,Halftime,,,38-26,N,
03/07/24,Georgia Tech,WBB,Runaway Baby,3Q-4Q Break,,,56-43,N,
03/07/24,Georgia Tech,WBB,Overpass,Pregame,,,0-0,N,
03/07/24,Georgia Tech,WBB,Devil,Postgame,,,70-58,N,
03/07/24,Georgia Tech,WBB,Raise Your Glass,4Q,<5:00,1:06,68-56,Y,
03/09/24,UNC,MBB,Fight Fight,1H,,16:27,4-15,N,
03/09/24,UNC,MBB,Runaway Baby,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Break Your Heart,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Dear Old Duke,Postgame,,,79-84,N,
03/09/24,UNC,MBB,Blue & White,Postgame,,,79-84,N,
03/09/24,UNC,MBB,Blue & White,2H,,0:05,79-82,N,
03/09/24,UNC,MBB,Fight Fight,2H,,0:05,79-82,N,
03/09/24,UNC,MBB,Pumpkin,2H,<4:00,2:09,69-75,N,
03/09/24,UNC,MBB,Everytime,2H,<4:00,2:09,69-75,N,
03/09/24,UNC,MBB,Zing It!,2H,<8:00,7:15,55-65,Y,
03/09/24,UNC,MBB,Overpass,2H,<12:00,11:41,46-53,Y,
03/09/24,UNC,MBB,D. Ditty,2H,<16:00,15:31,42-45,N,
03/09/24,UNC,MBB,Wipeout,2H,<16:00,15:31,42-45,N,
03/09/24,UNC,MBB,Can't,Halftime,,,31-40,N,
03/09/24,UNC,MBB,Raise Your Glass,Halftime,,,31-40,N,
03/09/24,UNC,MBB,Blue & White,Halftime,,,31-40,N,
03/09/24,UNC,MBB,Spell,1H,<8:00,7:48,15-30,N,
03/09/24,UNC,MBB,Vehicle,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Blue & White,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Can't,Pregame,,,0-0,N,
03/09/24,UNC,MBB,That's What I Want,1H,<12:00,11:49,8-21,N,
03/09/24,UNC,MBB,Mortal,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Blue & White,1H,,16:27,4-15,N,
03/09/24,UNC,MBB,Zing It!,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Get It On,Pregame,,,0-0,N,
03/09/24,,,Dance the Night,,,,,N,ESPN College GameDay
03/09/24,UNC,MBB,Rock Lobster,Pregame,,,0-0,N,
03/09/24,UNC,MBB,good 4 business,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Stacy's Mom,Pregame,,,0-0,N,
03/09/24,UNC,MBB,About Damn Time,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Love Runs Out,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Potential Breakup Song,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Lucky Strike,Pregame,,,0-0,N,
03/09/24,UNC,MBB,Blue & White,Pregame,,,0-0,N,
