Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
02/11/24,UNC,WBB,Sail,4Q,n/a,1:32,53-53,N
02/11/24,UNC,WBB,Fight Fight,1OT Break,n/a,n/a,53-53,N
02/11/24,UNC,WBB,Blue & White,1OT Break,n/a,n/a,53-53,N
02/11/24,UNC,WBB,Devil,1OT,n/a,n/a,n/a,N
02/11/24,UNC,WBB,Zing It!,1OT,n/a,n/a,n/a,N
02/11/24,UNC,WBB,That's What I Want,1OT,n/a,n/a,n/a,N
02/11/24,UNC,WBB,Devil,Postgame,n/a,n/a,68-60,N
02/11/24,UNC,WBB,Dear Old Duke,Postgame,n/a,n/a,68-60,N
02/19/24,Notre Dame,WBB,That That,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Scream,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Lucky Strike,Pregame,n/a,n/a,0-0,Y
02/19/24,Notre Dame,WBB,Can't,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Love from the Other Side,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,DJamite,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Devil,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Mortal,Pregame,n/a,n/a,0-0,N
02/19/24,Notre Dame,WBB,Fight Fight,1Q,<5:00,4:37,8-7,N
02/19/24,Notre Dame,WBB,Blue & White,1Q,<5:00,4:37,8-7,Y
02/19/24,Notre Dame,WBB,Runaway Baby,1Q-2Q Break,n/a,n/a,15-16,Y
02/19/24,Notre Dame,WBB,Spell,2Q,<5:00,4:37,23-20,N
02/19/24,Notre Dame,WBB,Sail,2Q,<5:00,4:37,23-20,N
02/19/24,Notre Dame,WBB,Lucky Strike,Halftime,n/a,n/a,30-27,Y
02/19/24,Notre Dame,WBB,Can't,Halftime,n/a,n/a,30-27,N
02/19/24,Notre Dame,WBB,Dance the Night,3Q,<5:00,4:44,37-36,Y
02/19/24,Notre Dame,WBB,Wipeout,3Q,n/a,2:56,37-42,N
02/19/24,Notre Dame,WBB,Zing It!,3Q-4Q Break,n/a,n/a,39-48,N
02/19/24,Notre Dame,WBB,T. gogo,3Q-4Q Break,n/a,n/a,39-48,N
02/19/24,Notre Dame,WBB,Everytime,4Q,<5:00,4:24,47-61,N
02/19/24,Notre Dame,WBB,Pumpkin,4Q,<5:00,4:24,47-61,N
02/19/24,Notre Dame,WBB,That's What I Want,4Q,n/a,1:16,56-65,N
02/19/24,Notre Dame,WBB,Blue & White,Postgame,n/a,n/a,62-70,N
02/19/24,Notre Dame,WBB,Dear Old Duke,Postgame,n/a,n/a,62-70,N
02/28/24,Louisville,MBB,That That,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Lucky Strike,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Raise Your Glass,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Runaway Baby,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Dance the Night,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Break Your Heart,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Fight Fight,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Devil,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Mortal,Pregame,n/a,n/a,0-0,N
02/28/24,Louisville,MBB,Fight Fight,1H,<16:00,15:17,6-3,N
02/28/24,Louisville,MBB,Blue & White,1H,<16:00,15:17,6-3,N
02/28/24,Louisville,MBB,Sucker,1H,<12:00,11:21,15-9,Y
02/28/24,Louisville,MBB,Uma Thurman,1H,<8:00,7:27,23-13,Y
02/28/24,Louisville,MBB,Spell,1H,<4:00,3:49,33-17,N
02/28/24,Louisville,MBB,Sail,1H,<4:00,3:49,33-17,N
02/28/24,Louisville,MBB,Blue & White,Halftime,n/a,n/a,36-23,N
02/28/24,Louisville,MBB,Can't,Halftime,n/a,n/a,36-23,N
02/28/24,Louisville,MBB,Wipeout,2H,n/a,18:15,43-23,N
02/28/24,Louisville,MBB,T. gogo,2H,n/a,18:15,43-23,N
02/28/24,Louisville,MBB,Love from the Other Side,2H,<16:00,13:27,52-36,N
02/28/24,Louisville,MBB,Somebody Told Me,2H,<8:00,7:53,67-46,N
02/28/24,Louisville,MBB,Everytime,2H,<4:00,3:49,71-53,N
02/28/24,Louisville,MBB,Pumpkin,2H,<4:00,3:49,71-53,N
02/28/24,Louisville,MBB,Devil,Postgame,n/a,n/a,84-59,N
02/28/24,Louisville,MBB,Dear Old Duke,Postgame,n/a,n/a,84-59,N
02/29/24,Virginia,WBB,About Damn Time,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,That's What I Want,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,Disturbia,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,Can't,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,Fight Fight,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,Lucky Strike,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,Devil,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,Mortal,Pregame,n/a,n/a,0-0,N
02/29/24,Virginia,WBB,Fight Fight,1Q,n/a,6:36,11-2,N
02/29/24,Virginia,WBB,Blue & White,1Q,n/a,6:36,11-2,Y
02/29/24,Virginia,WBB,Runaway Baby,1Q-2Q Break,n/a,n/a,17-12,N
02/29/24,Virginia,WBB,Spell,2Q,n/a,6:40,23-14,N
02/29/24,Virginia,WBB,Sail,2Q,n/a,6:40,23-14,N
02/29/24,Virginia,WBB,Blue & White,Halftime,n/a,n/a,40-27,N
02/29/24,Virginia,WBB,Can't,Halftime,n/a,n/a,40-27,N
02/29/24,Virginia,WBB,Dance the Night,Halftime,n/a,n/a,40-27,N
02/29/24,Virginia,WBB,Love Runs Out,3Q,<5:00,4:50,51-33,Y
02/29/24,Virginia,WBB,Wipeout,3Q-4Q Break,n/a,n/a,53-38,N
02/29/24,Virginia,WBB,Zing It!,4Q,n/a,7:09,60-41,N
02/29/24,Virginia,WBB,Everytime,4Q,<5:00,3:09,68-49,N
02/29/24,Virginia,WBB,Pumpkin,4Q,<5:00,3:09,69-49,N
02/29/24,Virginia,WBB,Devil,Postgame,n/a,n/a,73-54,N
02/29/24,Virginia,WBB,Dear Old Duke,Postgame,n/a,n/a,73-54,N
