Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
,,,Sucker,1H,<12:00,11:21,15-9,Y
,,,Uma Thurman,1H,<8:00,7:27,23-13,Y
,,,Spell,1H,<4:00,3:49,33-17,N
,,,Sail,1H,<4:00,3:49,33-17,N
,,,Blue & White,Halftime,n/a,n/a,36-23,N
,,,Can't,Halftime,n/a,n/a,36-23,N
,,,Wipeout,2H,n/a,18:15,43-23,N
,,,T. gogo,2H,n/a,18:15,43-23,N
,,,Love from the Other Side,2H,<16:00,13:27,52-36,N
,,,Somebody Told Me,2H,<8:00,7:53,67-46,N
,,,Everytime,2H,<4:00,3:49,71-53,N
,,,Pumpkin,2H,<4:00,3:49,71-53,N
,,,Devil,Postgame,n/a,n/a,84-59,N
